"filename", "language", "Python", "Log", "JSON", "comment", "blank", "total"
"/home/danvic/JARVIS/Jarvis/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/core/LLMManager.py", "Python", 11, 0, 0, 0, 3, 14
"/home/danvic/JARVIS/Jarvis/core/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/core/action_plan.py", "Python", 8, 0, 0, 0, 1, 9
"/home/danvic/JARVIS/Jarvis/core/action_request.py", "Python", 11, 0, 0, 0, 2, 13
"/home/danvic/JARVIS/Jarvis/core/action_result.py", "Python", 7, 0, 0, 0, 2, 9
"/home/danvic/JARVIS/Jarvis/core/answer.py", "Python", 10, 0, 0, 0, 3, 13
"/home/danvic/JARVIS/Jarvis/core/answer_pipeline.py", "Python", 41, 0, 0, 14, 23, 78
"/home/danvic/JARVIS/Jarvis/core/bootstrap.py", "Python", 11, 0, 0, 0, 3, 14
"/home/danvic/JARVIS/Jarvis/core/config.py", "Python", 19, 0, 0, 0, 6, 25
"/home/danvic/JARVIS/Jarvis/core/context.py", "Python", 24, 0, 0, 4, 6, 34
"/home/danvic/JARVIS/Jarvis/core/decision.py", "Python", 26, 0, 0, 0, 6, 32
"/home/danvic/JARVIS/Jarvis/core/dev_mode.py", "Python", 17, 0, 0, 0, 7, 24
"/home/danvic/JARVIS/Jarvis/core/dev_mode_guard.py", "Python", 45, 0, 0, 0, 11, 56
"/home/danvic/JARVIS/Jarvis/core/errors.py", "Python", 83, 0, 0, 0, 16, 99
"/home/danvic/JARVIS/Jarvis/core/executor.py", "Python", 137, 0, 0, 2, 40, 179
"/home/danvic/JARVIS/Jarvis/core/intent.py", "Python", 78, 0, 0, 18, 43, 139
"/home/danvic/JARVIS/Jarvis/core/llm_contract.py", "Python", 23, 0, 0, 7, 9, 39
"/home/danvic/JARVIS/Jarvis/core/logger.py", "Python", 14, 0, 0, 0, 1, 15
"/home/danvic/JARVIS/Jarvis/core/main.py", "Python", 36, 0, 0, 0, 11, 47
"/home/danvic/JARVIS/Jarvis/core/memory.py", "Python", 42, 0, 0, 0, 11, 53
"/home/danvic/JARVIS/Jarvis/core/memory/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/core/memory/execution_memory.py", "Python", 16, 0, 0, 13, 8, 37
"/home/danvic/JARVIS/Jarvis/core/memory/manager.py", "Python", 25, 0, 0, 0, 7, 32
"/home/danvic/JARVIS/Jarvis/core/memory/models.py", "Python", 32, 0, 0, 0, 5, 37
"/home/danvic/JARVIS/Jarvis/core/memory/parser.py", "Python", 29, 0, 0, 5, 9, 43
"/home/danvic/JARVIS/Jarvis/core/memory/policies.py", "Python", 4, 0, 0, 0, 0, 4
"/home/danvic/JARVIS/Jarvis/core/memory/store.py", "Python", 49, 0, 0, 0, 7, 56
"/home/danvic/JARVIS/Jarvis/core/memory/temp_memory.py", "Python", 37, 0, 0, 19, 12, 68
"/home/danvic/JARVIS/Jarvis/core/output_formatter.py", "Python", 7, 0, 0, 0, 2, 9
"/home/danvic/JARVIS/Jarvis/core/params_resolver.py", "Python", 93, 0, 0, 28, 33, 154
"/home/danvic/JARVIS/Jarvis/core/policy.py", "Python", 35, 0, 0, 0, 14, 49
"/home/danvic/JARVIS/Jarvis/core/router.py", "Python", 52, 0, 0, 7, 11, 70
"/home/danvic/JARVIS/Jarvis/core/router_result.py", "Python", 5, 0, 0, 0, 1, 6
"/home/danvic/JARVIS/Jarvis/core/types.py", "Python", 5, 0, 0, 0, 1, 6
"/home/danvic/JARVIS/Jarvis/data/dev_mode_state.json", "JSON", 0, 0, 1, 0, 0, 1
"/home/danvic/JARVIS/Jarvis/data/logs/error.log", "Log", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/data/memory.json", "JSON", 0, 0, 10, 0, 0, 10
"/home/danvic/JARVIS/Jarvis/data/memory/short_term.json", "JSON", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/dev/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/dev/debug.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/dev/inspect.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/dev/simulate.py", "Python", 8, 0, 0, 0, 1, 9
"/home/danvic/JARVIS/Jarvis/main.py", "Python", 59, 0, 0, 1, 16, 76
"/home/danvic/JARVIS/Jarvis/modules/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/modules/llm/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/modules/llm/base.py", "Python", 5, 0, 0, 0, 2, 7
"/home/danvic/JARVIS/Jarvis/modules/llm/groq.py", "Python", 26, 0, 0, 0, 5, 31
"/home/danvic/JARVIS/Jarvis/modules/llm/ollama.py", "Python", 12, 0, 0, 0, 6, 18
"/home/danvic/JARVIS/Jarvis/plugins/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins/base.py", "Python", 13, 0, 0, 0, 4, 17
"/home/danvic/JARVIS/Jarvis/plugins/loader.py", "Python", 18, 0, 0, 0, 5, 23
"/home/danvic/JARVIS/Jarvis/plugins/registry.py", "Python", 14, 0, 0, 0, 3, 17
"/home/danvic/JARVIS/Jarvis/plugins_available/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/domain_check.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_delete.py", "Python", 57, 0, 0, 6, 16, 79
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_edit.py", "Python", 51, 0, 0, 3, 16, 70
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_move.py", "Python", 52, 0, 0, 5, 16, 73
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_pdf_read.py", "Python", 81, 0, 0, 8, 29, 118
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_read.py", "Python", 49, 0, 0, 3, 17, 69
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_write.py", "Python", 38, 0, 0, 4, 13, 55
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/pdf_ocr.py", "Python", 20, 0, 0, 7, 7, 34
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/pdf_summary.py", "Python", 31, 0, 0, 8, 9, 48
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/resolver.py", "Python", 66, 0, 0, 4, 23, 93
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/text_summary.py", "Python", 19, 0, 0, 10, 12, 41
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/ui.py", "Python", 85, 0, 0, 21, 24, 130
"/home/danvic/JARVIS/Jarvis/plugins_available/web/models.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/web/plugin.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/web_search.py", "Python", 18, 0, 0, 0, 7, 25
"/home/danvic/JARVIS/Jarvis/safe/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/safe/safe_execution.py", "Python", 21, 0, 0, 0, 3, 24
"/home/danvic/JARVIS/Jarvis/sandbox/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/home/danvic/JARVIS/Jarvis/sandbox/handler.py", "Python", 26, 0, 0, 0, 12, 38
"Total", "-", 1802, 0, 11, 197, 578, 2588